location,link
"Suncity Avenue 76, Sector 76, Gurgaon",https://www.99acres.com/suncity-avenue-76-sector-76-gurgaon-npxid-r343747
"Agrante Kavyam, Sector 108, Gurgaon",https://www.99acres.com/agrante-kavyam-sector-108-gurgaon-npxid-r320599
"TDI Ourania, Sector 53, Gurgaon",https://www.99acres.com/tdi-ourania-sector-53-gurgaon-npxid-r848
"Eldeco Accolade, Sohna, Gurgaon",https://www.99acres.com/eldeco-accolade-sohna-gurgaon-npxid-r71167
"Suncity Heights, Sector 54, Gurgaon",https://www.99acres.com/suncity-heights-sector-54-gurgaon-npxid-r11960
"Eros Wembley Estate, Sector 50, Gurgaon",https://www.99acres.com/eros-wembley-estate-sector-50-gurgaon-npxid-r8260
"DLF The Summit, Sector 54, Gurgaon",https://www.99acres.com/dlf-the-summit-sector-54-gurgaon-npxid-r26556
"DLF The Pinnacle, DLF Phase 5, Gurgaon",https://www.99acres.com/dlf-the-pinnacle-resale-in-dlf-phase-5-gurgaon-517-npffid
"Silverglades Hightown Residences, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/silverglades-hightown-residences-sushant-lok-phase-1-gurgaon-npxid-r370204
"Paras Quartier, Valley View Estate, Gurgaon",https://www.99acres.com/property-in-valley-view-estate-gurgaon-ffid
"Pyramid Urban Homes, Sector 70, Gurgaon",https://www.99acres.com/pyramid-urban-homes-sector-70a-gurgaon-npxid-r122845
"Cdot Apartment, Sector 56, Gurgaon",https://www.99acres.com/cdot-apartment-sector-56-gurgaon-npxid-r32868
"BPTP Freedom Park Life, Sector 57, Gurgaon",https://www.99acres.com/bptp-freedom-park-life-sector-57-gurgaon-npxid-r375
"Trump Tower, Sector 65, Gurgaon",https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597
"Capital Residences 360, Sector 70, Gurgaon",https://www.99acres.com/capital-residences-360-sector-70a-gurgaon-npxid-r8220
"BPTP Green Oaks, Sector 70, Gurgaon",https://www.99acres.com/bptp-green-oaks-sector-70a-gurgaon-npxid-r382679
"Luxury Residency, Sector 15, Gurgaon",https://www.99acres.com/luxury-apartments-flats-in-sector-15-gurgaon-ffid
"HBH Galaxy Apartments, Sector 43, Gurgaon",https://www.99acres.com/hbh-galaxy-apartments-sector-43-gurgaon-npxid-r11664
